cmplnt_num,cmplnt_fr_dt,cmplnt_fr_tm,cmplnt_to_dt,cmplnt_to_tm,addr_pct_cd,rpt_dt,ky_cd,ofns_desc,pd_cd,pd_desc,crm_atpt_cptd_cd,law_cat_cd,boro_nm,loc_of_occur_desc,prem_typ_desc,juris_desc,jurisdiction_code,parks_nm,hadevelopt,housing_psa,x_coord_cd,y_coord_cd,susp_age_group,susp_race,susp_sex,transit_district,latitude,longitude,lat_lon,patrol_boro,station_name,vic_age_group,vic_race,vic_sex,complaint_date,year,month,day,quarter,is_felony
318110134,2025-12-29,15:45:00,2025-12-29T00:00:00.000,15:50:00,62,2025-12-29T00:00:00.000,126,MISCELLANEOUS PENAL LAW,112.0,MENACING 1ST DEGREE (VICT NOT,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),986277,164608,65+,ASIAN / PACIFIC ISLANDER,M,,40.618496,-73.992699,"(40.618496, -73.992699)",PATROL BORO BKLYN SOUTH,(null),45-64,ASIAN / PACIFIC ISLANDER,F,2025-12-29,2025,12,29,4,1
318098953,2025-12-29,14:45:00,2025-12-29T00:00:00.000,14:50:00,1,2025-12-29T00:00:00.000,343,OTHER OFFENSES RELATED TO THEFT,478.0,"THEFT OF SERVICES, UNCLASSIFIE",COMPLETED,MISDEMEANOR,MANHATTAN,(null),TRANSIT FACILITY (OTHER),N.Y. TRANSIT POLICE,1,(null),(null),(null),981604,198068,25-44,BLACK,M,2.0,40.71032722,-74.00954415,"(40.71032722, -74.00954415)",PATROL BORO MAN SOUTH,FULTON STREET,UNKNOWN,UNKNOWN,D,2025-12-29,2025,12,29,4,0
318111704,2025-10-21,08:00:00,2025-10-26T00:00:00.000,12:15:00,107,2025-12-29T00:00:00.000,109,GRAND LARCENY,402.0,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT",COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),1033909,202141,UNKNOWN,UNKNOWN,U,,40.721377,-73.820848,"(40.721377, -73.820848)",PATROL BORO QUEENS SOUTH,(null),25-44,WHITE,F,2025-10-21,2025,10,21,4,1
318122751,2025-12-28,14:29:00,2025-12-29T00:00:00.000,14:31:00,90,2025-12-29T00:00:00.000,341,PETIT LARCENY,333.0,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,CHAIN STORE,N.Y. POLICE DEPT,0,(null),(null),(null),995733,197465,UNKNOWN,WHITE HISPANIC,M,,40.708674,-73.95858,"(40.708674, -73.95858)",PATROL BORO BKLYN NORTH,(null),UNKNOWN,UNKNOWN,D,2025-12-28,2025,12,28,4,0
318129801,2025-12-29,12:25:00,2025-12-29T00:00:00.000,12:29:00,81,2025-12-29T00:00:00.000,578,HARRASSMENT 2,638.0,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,BROOKLYN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),502,1002111,191829,<18,WHITE HISPANIC,M,,40.693196,-73.935592,"(40.693196, -73.935592)",PATROL BORO BKLYN NORTH,(null),25-44,WHITE HISPANIC,F,2025-12-29,2025,12,29,4,0
318079818,2025-12-29,03:24:00,2025-12-29T00:00:00.000,03:24:00,68,2025-12-29T00:00:00.000,675,ADMINISTRATIVE CODE,890.0,N.Y.C. TRANSIT AUTH. R&R,COMPLETED,VIOLATION,BROOKLYN,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,(null),(null),(null),975608,163701,25-44,WHITE HISPANIC,M,34.0,40.6159936,-74.03112773,"(40.6159936, -74.03112773)",PATROL BORO BKLYN SOUTH,95 STREET-BAY RIDGE,UNKNOWN,UNKNOWN,E,2025-12-29,2025,12,29,4,0
318117446,2025-12-24,12:54:00,2025-12-24T00:00:00.000,13:00:00,75,2025-12-29T00:00:00.000,121,CRIMINAL MISCHIEF & RELATED OF,269.0,"MISCHIEF,CRIMINAL,    UNCL 2ND",COMPLETED,FELONY,BROOKLYN,(null),RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),1018410,182522,UNKNOWN,BLACK,M,,40.667602,-73.876864,"(40.667602, -73.876864)",PATROL BORO BKLYN NORTH,(null),25-44,BLACK,M,2025-12-24,2025,12,24,4,1
318076597,2025-12-29,01:55:00,2025-12-29T00:00:00.000,02:00:00,48,2025-12-29T00:00:00.000,106,FELONY ASSAULT,109.0,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),1014905,245093,25-44,BLACK,F,,40.839355,-73.88921,"(40.839355, -73.88921)",PATROL BORO BRONX,(null),25-44,BLACK,M,2025-12-29,2025,12,29,4,1
318114908,2025-12-08,17:30:00,2025-12-08T00:00:00.000,17:30:00,113,2025-12-29T00:00:00.000,109,GRAND LARCENY,459.0,"LARCENY,GRAND FROM RESIDENCE/BUILDING,UNATTENDED, PACKAGE THEFT OUTSIDE",COMPLETED,FELONY,QUEENS,FRONT OF,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),1053636,190565,UNKNOWN,UNKNOWN,U,,40.689472,-73.7498,"(40.689472, -73.7498)",PATROL BORO QUEENS SOUTH,(null),25-44,BLACK,F,2025-12-08,2025,12,8,4,1
318147935,2025-12-28,19:50:00,2025-12-28T00:00:00.000,20:00:00,14,2025-12-29T00:00:00.000,109,GRAND LARCENY,415.0,"LARCENY,GRAND FROM PERSON,PICK",COMPLETED,FELONY,MANHATTAN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),(null),988017,214638,UNKNOWN,UNKNOWN,U,,40.75580739,-73.98640311,"(40.75580739, -73.98640311)",PATROL BORO MAN SOUTH,(null),25-44,ASIAN / PACIFIC ISLANDER,M,2025-12-28,2025,12,28,4,1
318096135,2025-12-29,08:18:00,2025-12-29T00:00:00.000,08:25:00,23,2025-12-29T00:00:00.000,106,FELONY ASSAULT,109.0,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,MANHATTAN,INSIDE,FAST FOOD,N.Y. POLICE DEPT,0,(null),(null),(null),998683,229230,UNKNOWN,BLACK,M,,40.795857,-73.947872,"(40.795857, -73.947872)",PATROL BORO MAN NORTH,(null),45-64,WHITE HISPANIC,M,2025-12-29,2025,12,29,4,1
318096233,2025-12-29,01:30:00,2025-12-29T00:00:00.000,01:35:00,44,2025-12-29T00:00:00.000,344,ASSAULT 3 & RELATED OFFENSES,101.0,ASSAULT 3,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),1006678,244090,45-64,BLACK,M,,40.836626,-73.918948,"(40.836626, -73.918948)",PATROL BORO BRONX,(null),45-64,BLACK,M,2025-12-29,2025,12,29,4,0
