boro_nm,addr_pct_cd,latitude,longitude
MANHATTAN,30,40.81977,-73.955322
MANHATTAN,14,40.75157717,-73.982275
QUEENS,100,40.577947,-73.839167
BRONX,43,40.828753,-73.866594
QUEENS,103,40.705442,-73.807103
MANHATTAN,10,40.742835,-73.998429
QUEENS,103,40.69933,-73.806123
BROOKLYN,75,40.65037,-73.884459
BROOKLYN,90,40.713258,-73.951956
BROOKLYN,90,40.701318,-73.942213
BROOKLYN,75,40.6713598203364,-73.8818110231735
BRONX,42,40.83319755,-73.89512398
MANHATTAN,13,40.742317,-73.981659
MANHATTAN,24,40.794651,-73.97178272
BROOKLYN,88,40.695868,-73.981893
BROOKLYN,67,40.640296,-73.951357
BROOKLYN,61,40.601565,-73.963685
BROOKLYN,71,40.657196,-73.948802
QUEENS,104,40.723966,-73.9081
QUEENS,102,40.693116,-73.812145
QUEENS,109,40.781007,-73.775491
BROOKLYN,61,40.591865,-73.958338
MANHATTAN,1,40.722559,-74.004109
BROOKLYN,73,40.654949,-73.910893
BRONX,49,40.85201,-73.867786
QUEENS,113,40.68415,-73.778816
BROOKLYN,67,40.653885,-73.954497
QUEENS,100,40.588275,-73.811348
QUEENS,109,40.781678,-73.826703
BRONX,45,40.813913,-73.82784
BROOKLYN,75,40.645984,-73.878716
BROOKLYN,73,40.680927,-73.908646
QUEENS,114,40.752434,-73.914941
QUEENS,109,40.781667,-73.832202
QUEENS,108,40.744964,-73.918813
MANHATTAN,7,40.7185558,-73.98820001
BROOKLYN,83,40.702907,-73.912357
BROOKLYN,63,40.638313,-73.920273
BROOKLYN,88,40.68486,-73.972188
QUEENS,115,40.756299,-73.878397
QUEENS,114,40.754071,-73.934017
BROOKLYN,84,40.695477,-73.985115
QUEENS,113,40.67836481,-73.77947908
BRONX,40,40.817709,-73.923973
BROOKLYN,88,40.69578,-73.979529
BROOKLYN,71,40.661281,-73.932379
BROOKLYN,70,40.62933305,-73.96800141
QUEENS,107,40.71871546,-73.79261026
MANHATTAN,7,40.718684,-73.988608
BRONX,40,40.816674,-73.905109
MANHATTAN,5,40.723487,-73.992849
QUEENS,106,40.690312,-73.81445
QUEENS,110,40.746371,-73.854822
MANHATTAN,7,40.720354,-73.982486
MANHATTAN,10,40.748379,-74.001818
BROOKLYN,75,40.669307,-73.895711
MANHATTAN,10,40.758713,-73.993286
BRONX,47,40.873058,-73.847343
BRONX,50,40.883855,-73.896478
MANHATTAN,25,40.79953,-73.932839
STATEN ISLAND,121,40.607194,-74.148565
QUEENS,113,40.668198,-73.795469
BROOKLYN,78,40.679641,-73.98154
MANHATTAN,14,40.7535327012632,-73.9945368920152
BRONX,41,40.815151,-73.891481
QUEENS,109,40.760691,-73.832898
BRONX,41,40.803914,-73.878308
BROOKLYN,79,40.691527,-73.950119
STATEN ISLAND,121,40.635771,-74.153951
BRONX,46,40.84789,-73.919042
BROOKLYN,90,40.706977,-73.953699
(null),33,40.846364,-73.939258
BRONX,41,40.822278,-73.889406
MANHATTAN,32,40.82234,-73.936709
BRONX,52,40.881623,-73.878308
QUEENS,103,40.70274023,-73.79841611
BRONX,43,40.824816,-73.879246
QUEENS,106,40.683686,-73.806639
BRONX,44,40.844315,-73.90942
BRONX,46,40.84564271,-73.90209813
BROOKLYN,68,40.626118,-74.026999
BRONX,44,40.841194,-73.920786
BROOKLYN,72,40.654762,-74.007226
QUEENS,110,40.740663,-73.856098
BRONX,49,40.847919,-73.856684
BROOKLYN,79,40.680443,-73.950359
BRONX,48,40.844091,-73.892262
BROOKLYN,61,40.607012,-73.964718
MANHATTAN,28,40.808901,-73.950244
BRONX,45,40.846166,-73.831707
BROOKLYN,62,40.609798,-73.994657
MANHATTAN,14,40.750432,-73.989281
BROOKLYN,62,40.607548,-74.009952
BRONX,52,40.86923087,-73.89603614
BRONX,46,40.849456,-73.921728
BROOKLYN,70,40.626421,-73.950194
QUEENS,114,40.770284,-73.912532
BROOKLYN,94,40.714075,-73.950499
BRONX,42,40.842804,-73.897078
QUEENS,107,40.727793,-73.792571
BROOKLYN,68,40.62578046,-74.02415437
MANHATTAN,1,40.72589,-74.003882
STATEN ISLAND,122,40.540559,-74.147489
BROOKLYN,69,40.631568,-73.901961
BROOKLYN,73,40.657323,-73.911965
MANHATTAN,14,40.747881,-73.991041
BRONX,42,40.827615,-73.908947
BROOKLYN,76,40.675511,-74.008376
QUEENS,109,40.75604,-73.828537
BRONX,43,40.828247,-73.870362
MANHATTAN,17,40.758653,-73.96268
QUEENS,110,40.733735,-73.87119
STATEN ISLAND,120,40.614783,-74.083048
STATEN ISLAND,120,40.609634,-74.08985
BROOKLYN,79,40.679241,-73.942187
MANHATTAN,7,40.718678,-73.986246
BROOKLYN,76,40.678402,-73.990668
BROOKLYN,90,40.711147,-73.941266
BROOKLYN,66,40.635953,-73.967834
